T_UPDATE;FLIGHT_ID;RUNWAY;TIME;GATE;STACK
11-9-2021 21:20:12;21519097;null;12-9-2021;null;null
12-9-2021 01:05:18;21519092;18R;12-9-2021 00:00:47;B31;ARTIP
12-9-2021 01:05:19;21519110;null;12-9-2021 00:14:00;HG0;null
12-9-2021 01:05:19;21519094;18R;12-9-2021 00:14:10;S79;ARTIP
12-9-2021 01:05:19;21519093;18R;12-9-2021 00:20:28;D03;ARTIP
12-9-2021 01:05:20;21519098;18R;12-9-2021 00:54:00;E07;ARTIP
12-9-2021 01:20:10;21519095;18R;12-9-2021 01:10:20;D41;ARTIP
12-9-2021 02:35:11;21519105;18R;12-9-2021 02:16:19;D57;ARTIP
12-9-2021 02:50:10;21519106;18R;12-9-2021 02:30:33;R81;ARTIP
12-9-2021 03:35:11;21519107;18R;12-9-2021 03:15:16;E06;ARTIP
12-9-2021 03:50:10;21519112;18R;12-9-2021 03:31:33;E05;SUGOL
12-9-2021 03:50:11;21519109;18R;12-9-2021 03:39:04;R80;ARTIP
12-9-2021 04:05:13;21519115;18R;12-9-2021 03:54:18;F06;ARTIP
12-9-2021 04:20:10;21519111;18R;12-9-2021 04:00:20;E18;RIVER
12-9-2021 04:20:11;21519119;18R;12-9-2021 04:07:52;E22;ARTIP
12-9-2021 04:50:10;21519139;18R;12-9-2021 04:29:22;F09;SUGOL
12-9-2021 04:50:11;21519127;18R;12-9-2021 04:31:00;D04;SUGOL
12-9-2021 04:50:11;21519122;18R;12-9-2021 04:33:17;G79;ARTIP
12-9-2021 04:50:12;21519135;18R;12-9-2021 04:39:20;B24;ARTIP
12-9-2021 04:50:12;21519141;18R;12-9-2021 04:40:38;E20;SUGOL
12-9-2021 05:05:12;21519133;18R;12-9-2021 04:45:28;E24;ARTIP
12-9-2021 05:05:13;21519138;18R;12-9-2021 04:56:02;A64;ARTIP
12-9-2021 05:05:13;21519125;18R;12-9-2021 04:57:28;E19;RIVER
12-9-2021 05:20:11;21519150;18R;12-9-2021 05:00:45;F08;SUGOL
12-9-2021 05:20:11;21519144;18C;12-9-2021 05:01:24;A51;ARTIP
12-9-2021 05:20:12;21519130;18C;12-9-2021 05:02:59;E75;ARTIP
12-9-2021 05:20:12;21519149;18R;12-9-2021 05:03:20;B20;RIVER
12-9-2021 05:20:12;21519154;18R;12-9-2021 05:04:36;G09;SUGOL
12-9-2021 05:20:12;21519137;18C;12-9-2021 05:04:48;E09;ARTIP
12-9-2021 05:20:12;21519156;18R;12-9-2021 05:06:30;E07;SUGOL
12-9-2021 05:20:12;21519143;18C;12-9-2021 05:06:55;A41;ARTIP
12-9-2021 05:20:12;21519151;18C;12-9-2021 05:08:29;C08;ARTIP
12-9-2021 05:20:12;21519165;18R;12-9-2021 05:08:34;D10;SUGOL
12-9-2021 05:20:13;21519147;18C;12-9-2021 05:10:17;B31;ARTIP
12-9-2021 05:20:13;21519157;18R;12-9-2021 05:10:57;S77;SUGOL
12-9-2021 05:20:13;21519134;18C;12-9-2021 05:11:26;F05;ARTIP
12-9-2021 05:20:13;21519155;18R;12-9-2021 05:12:38;E02;SUGOL
12-9-2021 05:20:13;21519148;18C;12-9-2021 05:13:07;C13;ARTIP
12-9-2021 05:35:11;21519153;18C;12-9-2021 05:14:56;A53;ARTIP
12-9-2021 05:35:11;21519140;18C;12-9-2021 05:16:28;B27;ARTIP
12-9-2021 05:35:12;21519159;18C;12-9-2021 05:19:52;E04;ARTIP
12-9-2021 05:35:12;21519163;18C;12-9-2021 05:21:49;A65;ARTIP
12-9-2021 05:35:12;21519161;18C;12-9-2021 05:23:32;D94;ARTIP
12-9-2021 05:35:12;21519180;21;12-9-2021 05:24:07;B2;null
12-9-2021 05:35:13;21519183;18C;12-9-2021 05:25:32;E08;ARTIP
12-9-2021 05:35:13;21519164;18C;12-9-2021 05:27:21;F07;ARTIP
12-9-2021 05:50:11;21519185;18C;12-9-2021 05:29:54;B35;ARTIP
12-9-2021 05:50:11;21519182;18C;12-9-2021 05:31:48;G07;ARTIP
12-9-2021 05:50:12;21519184;18R;12-9-2021 05:33:26;B16;RIVER
12-9-2021 05:50:12;21519192;18C;12-9-2021 05:34:00;D51;ARTIP
12-9-2021 05:50:12;21519195;18R;12-9-2021 05:34:36;E03;SUGOL
12-9-2021 05:50:12;21519175;18C;12-9-2021 05:35:24;D93;ARTIP
12-9-2021 05:50:12;21519193;18R;12-9-2021 05:37:04;A54;RIVER
12-9-2021 05:50:13;21519194;18R;12-9-2021 05:38:36;A43;RIVER
12-9-2021 05:50:13;21519190;18C;12-9-2021 05:40:54;H01;ARTIP
12-9-2021 06:05:11;21519208;18R;12-9-2021 05:45:03;D18;SUGOL
12-9-2021 06:05:11;21519205;18C;12-9-2021 05:45:51;B32;ARTIP
12-9-2021 06:05:11;21519213;18R;12-9-2021 05:46:58;G05;SUGOL
12-9-2021 06:05:11;21519216;18C;12-9-2021 05:47:55;G06;ARTIP
12-9-2021 06:05:12;21519212;18R;12-9-2021 05:49:48;A31;RIVER
12-9-2021 06:05:12;21519210;18C;12-9-2021 05:51:17;A45;ARTIP
12-9-2021 06:05:12;21519209;18R;12-9-2021 05:51:50;D28;SUGOL
12-9-2021 06:05:13;21519228;18R;12-9-2021 05:53:20;E18;SUGOL
12-9-2021 06:05:13;21519223;18C;12-9-2021 05:56:02;C09;ARTIP
12-9-2021 06:05:14;21519211;18R;12-9-2021 05:57:25;B94;RIVER
12-9-2021 06:05:14;21519214;18C;12-9-2021 05:58:21;D22;ARTIP
12-9-2021 06:20:11;21519222;18C;12-9-2021 05:59:47;D90;ARTIP
12-9-2021 06:20:11;21519245;18R;12-9-2021 06:00:51;A46;SUGOL
12-9-2021 06:20:10;21519238;21;12-9-2021 06:01:04;null;null
12-9-2021 06:20:11;21519226;18C;12-9-2021 06:02:25;A32;ARTIP
12-9-2021 06:20:11;21519230;18R;12-9-2021 06:03:06;D43;SUGOL
12-9-2021 06:20:11;21519233;18C;12-9-2021 06:03:51;B36;ARTIP
12-9-2021 06:20:12;21519231;18C;12-9-2021 06:05:51;D56;RIVER
12-9-2021 06:20:12;21519251;18R;12-9-2021 06:05:55;A73;SUGOL
12-9-2021 06:20:12;21519221;18C;12-9-2021 06:07:26;A52;RIVER
12-9-2021 06:20:12;21519237;18R;12-9-2021 06:07:31;D14;SUGOL
12-9-2021 06:20:12;21519229;18C;12-9-2021 06:09:00;B23;ARTIP
12-9-2021 06:20:12;21519250;18R;12-9-2021 06:09:17;D41;RIVER
12-9-2021 06:20:13;21519258;18C;12-9-2021 06:10:17;F09;ARTIP
12-9-2021 06:20:13;21519234;18R;12-9-2021 06:10:37;C15;RIVER
12-9-2021 06:20:13;21519241;18R;12-9-2021 06:12:19;D53;SUGOL
12-9-2021 06:20:13;21519240;18C;12-9-2021 06:12:34;D25;ARTIP
12-9-2021 06:20:13;21519249;21;12-9-2021 06:12:36;null;null
12-9-2021 06:20:12;21519243;21;12-9-2021 06:12:45;null;null
12-9-2021 06:35:11;21519232;18R;12-9-2021 06:13:59;G08;RIVER
12-9-2021 06:35:11;21519219;18C;12-9-2021 06:14:15;B28;ARTIP
12-9-2021 06:35:11;21519266;22;12-9-2021 06:14:27;GL;RIVER
12-9-2021 06:35:11;21519199;18C;12-9-2021 06:15:31;D52;ARTIP
12-9-2021 06:35:11;21519259;18R;12-9-2021 06:15:56;A72;SUGOL
12-9-2021 06:35:11;21519244;18C;12-9-2021 06:16:54;D55;ARTIP
12-9-2021 06:35:11;21519253;18R;12-9-2021 06:17:07;C06;RIVER
12-9-2021 06:35:12;21519248;18C;12-9-2021 06:18:26;B17;ARTIP
12-9-2021 06:35:12;21519268;18R;12-9-2021 06:18:51;E22;SUGOL
12-9-2021 06:35:12;21519225;18C;12-9-2021 06:20:00;A55;ARTIP
12-9-2021 07:20:12;21519310;null;12-9-2021 06:21:00;null;null
12-9-2021 06:35:12;21519247;18R;12-9-2021 06:21:22;B20;RIVER
12-9-2021 06:35:12;21519252;18C;12-9-2021 06:21:23;D57;ARTIP
12-9-2021 06:35:12;21519261;18R;12-9-2021 06:22:31;D29;SUGOL
12-9-2021 06:35:12;21519267;18C;12-9-2021 06:22:49;C14;ARTIP
12-9-2021 06:35:13;21519257;18R;12-9-2021 06:24:22;A75;RIVER
12-9-2021 06:35:13;21519239;18C;12-9-2021 06:24:31;B24;ARTIP
12-9-2021 06:05:14;21519466;null;12-9-2021 06:25:23;null;null
12-9-2021 06:35:13;21519186;18C;12-9-2021 06:26:03;A44;ARTIP
12-9-2021 06:35:13;21519273;18R;12-9-2021 06:26:26;G03;SUGOL
12-9-2021 06:50:11;21519224;18R;12-9-2021 06:28:30;C07;RIVER
12-9-2021 06:50:11;21519274;18C;12-9-2021 06:28:47;R74;ARTIP
12-9-2021 06:50:11;21519260;18R;12-9-2021 06:29:46;E24;SUGOL
12-9-2021 06:50:11;21519255;18C;12-9-2021 06:30:52;D27;ARTIP
12-9-2021 06:50:12;21519264;18C;12-9-2021 06:32:06;D05;RIVER
12-9-2021 06:50:12;21519280;18C;12-9-2021 06:33:50;B32;RIVER
12-9-2021 06:50:12;21519277;18C;12-9-2021 06:35:35;H03;RIVER
12-9-2021 07:20:12;21519404;null;12-9-2021 06:36:00;null;null
12-9-2021 06:50:12;21519281;18C;12-9-2021 06:37:23;D03;SUGOL
12-9-2021 06:50:12;21519580;24;12-9-2021 06:38:32;null;null
12-9-2021 06:50:13;21519306;21;12-9-2021 06:39:00;A1;null
12-9-2021 06:50:13;21519299;18C;12-9-2021 06:39:57;D31;SUGOL
12-9-2021 06:50:13;21519283;18R;12-9-2021 06:41:22;A35;RIVER
12-9-2021 06:50:13;21519276;18R;12-9-2021 06:42:58;D16;ARTIP
12-9-2021 03:50:10;21519278;null;12-9-2021 06:43:39;null;RIVER
12-9-2021 07:05:12;21519291;18R;12-9-2021 06:44:37;F05;SUGOL
12-9-2021 07:05:12;21519287;18R;12-9-2021 06:46:52;B31;ARTIP
12-9-2021 07:05:12;21519288;18R;12-9-2021 06:48:24;G02;ARTIP
12-9-2021 07:05:13;21519279;18R;12-9-2021 06:50:03;D12;RIVER
12-9-2021 07:05:13;21519305;18R;12-9-2021 06:51:50;D10;SUGOL
12-9-2021 07:05:12;21519467;21;12-9-2021 06:53:42;null;null
12-9-2021 07:05:13;21519294;18R;12-9-2021 06:53:58;C12;ARTIP
12-9-2021 07:05:13;21519289;18R;12-9-2021 06:55:24;C08;ARTIP
12-9-2021 07:05:14;21519293;18R;12-9-2021 06:56:49;S79;SUGOL
12-9-2021 07:05:14;21519309;21;12-9-2021 06:57:47;LES;null
12-9-2021 07:20:12;21519246;18R;12-9-2021 06:58:49;D02;SUGOL
12-9-2021 07:20:12;21519300;18R;12-9-2021 07:00:29;F06;SUGOL
12-9-2021 07:20:12;21519200;18R;12-9-2021 07:02:30;E06;ARTIP
12-9-2021 07:20:12;21519304;18R;12-9-2021 07:04:00;H01;SUGOL
12-9-2021 07:20:13;21519290;18R;12-9-2021 07:05:48;D26;ARTIP
12-9-2021 07:20:13;21519263;18R;12-9-2021 07:07:29;A71;SUGOL
12-9-2021 07:20:14;21519332;18R;12-9-2021 07:13:03;G05;SUGOL
12-9-2021 07:20:14;21519329;22;12-9-2021 07:14:00;GL;null
12-9-2021 07:35:12;21519307;18R;12-9-2021 07:15:36;B27;RIVER
12-9-2021 07:35:12;21519312;21;12-9-2021 07:17:50;null;null
12-9-2021 07:35:12;21519320;21;12-9-2021 07:18:08;null;null
12-9-2021 07:35:13;21519315;18R;12-9-2021 07:18:09;C10;ARTIP
12-9-2021 07:35:12;21519314;21;12-9-2021 07:18:12;null;null
12-9-2021 07:35:13;21519311;18R;12-9-2021 07:20:48;D51;RIVER
12-9-2021 07:35:13;21519676;24;12-9-2021 07:23:41;null;null
12-9-2021 07:35:14;21519348;18R;12-9-2021 07:25:45;H03;SUGOL
12-9-2021 07:35:14;21519330;18R;12-9-2021 07:27:19;E08;ARTIP
12-9-2021 07:50:11;21519349;21;12-9-2021 07:34:15;null;null
12-9-2021 07:50:11;21519347;23;12-9-2021 07:34:40;J;null
12-9-2021 07:35:13;21519371;null;12-9-2021 07:35:34;null;null
12-9-2021 07:50:12;21519331;18R;12-9-2021 07:35:55;G09;ARTIP
12-9-2021 07:50:14;21519346;18R;12-9-2021 07:42:29;C16;ARTIP
12-9-2021 08:05:11;21519350;18R;12-9-2021 07:44:29;D07;SUGOL
12-9-2021 08:05:12;21519336;18R;12-9-2021 07:50:43;E04;ARTIP
12-9-2021 08:05:13;21519365;18R;12-9-2021 07:54:31;D28;ARTIP
12-9-2021 08:05:13;21519358;21;12-9-2021 07:54:42;null;null
12-9-2021 08:05:13;21519391;18R;12-9-2021 07:56:01;F08;RIVER
12-9-2021 08:05:14;21519357;18R;12-9-2021 07:57:53;G79;SUGOL
12-9-2021 08:20:10;21519382;18R;12-9-2021 07:59:31;E19;SUGOL
12-9-2021 08:20:10;21519381;18R;12-9-2021 08:01:23;S84;SUGOL
12-9-2021 08:20:11;21519385;18R;12-9-2021 08:03:54;B17;ARTIP
12-9-2021 08:20:11;21519339;18R;12-9-2021 08:05:46;G04;ARTIP
12-9-2021 08:20:11;21519425;21;12-9-2021 08:06:08;null;null
12-9-2021 08:20:11;21519366;18R;12-9-2021 08:07:06;S82;ARTIP
12-9-2021 08:20:12;21519390;18R;12-9-2021 08:09:25;D24;ARTIP
12-9-2021 08:20:12;21519405;18R;12-9-2021 08:10:54;B31;ARTIP
12-9-2021 08:20:13;21519392;18R;12-9-2021 08:12:48;D16;ARTIP
12-9-2021 08:35:11;21519434;18R;12-9-2021 08:14:10;E03;SUGOL
12-9-2021 04:20:10;21519323;null;12-9-2021 08:15:00;null;null
12-9-2021 08:05:11;21519660;null;12-9-2021 08:15:00;null;null
12-9-2021 08:35:11;21519433;21;12-9-2021 08:15:42;null;null
12-9-2021 08:35:12;21519464;18R;12-9-2021 08:18:33;E20;SUGOL
12-9-2021 08:35:13;21519417;18R;12-9-2021 08:20:46;D31;ARTIP
12-9-2021 08:35:13;21519451;18R;12-9-2021 08:22:22;B15;ARTIP
12-9-2021 08:35:13;21519426;18R;12-9-2021 08:23:42;C08;RIVER
12-9-2021 08:35:14;21519419;18R;12-9-2021 08:25:19;B35;ARTIP
12-9-2021 08:35:14;21519394;18R;12-9-2021 08:26:31;D04;SUGOL
12-9-2021 08:35:14;21519421;23;12-9-2021 08:27:00;A14;null
12-9-2021 07:20:13;21519334;null;12-9-2021 08:27:00;null;null
12-9-2021 08:50:12;21519427;18R;12-9-2021 08:28:57;B23;RIVER
12-9-2021 08:35:15;21519453;24;12-9-2021 08:29:44;A1;null
12-9-2021 04:50:10;21519370;null;12-9-2021 08:30:00;null;null
12-9-2021 06:05:11;21519521;null;12-9-2021 08:30:00;null;null
12-9-2021 08:50:13;21519461;18R;12-9-2021 08:30:38;E17;RIVER
12-9-2021 08:50:12;21519416;21;12-9-2021 08:31:13;null;null
12-9-2021 08:50:13;21519440;18R;12-9-2021 08:33:26;D25;SUGOL
12-9-2021 08:50:14;21519452;18R;12-9-2021 08:35:01;B36;ARTIP
12-9-2021 08:50:15;21519458;18R;12-9-2021 08:38:51;B27;RIVER
12-9-2021 08:50:15;21519446;22;12-9-2021 08:41:28;GL;null
12-9-2021 05:05:11;21519415;null;12-9-2021 08:45:00;null;null
12-9-2021 09:05:12;21519487;18R;12-9-2021 08:45:35;B16;ARTIP
12-9-2021 10:20:15;21519600;24;12-9-2021 08:46:00;null;null
12-9-2021 09:05:13;21519459;18R;12-9-2021 08:47:12;D52;RIVER
12-9-2021 05:35:11;21519468;null;12-9-2021 08:50:00;null;null
12-9-2021 09:05:14;21519476;18R;12-9-2021 08:50:57;G02;RIVER
12-9-2021 09:05:14;21519489;18R;12-9-2021 08:52:51;D54;RIVER
12-9-2021 09:05:15;21519478;18R;12-9-2021 08:54:22;D56;ARTIP
12-9-2021 07:50:13;21519749;null;12-9-2021 08:55:00;null;null
12-9-2021 09:05:15;21519503;18R;12-9-2021 08:56:02;G06;RIVER
12-9-2021 09:05:15;21519491;24;12-9-2021 08:58:47;C2;null
12-9-2021 09:20:10;21519512;18R;12-9-2021 08:58:52;C11;RIVER
12-9-2021 09:05:15;21519497;23;12-9-2021 09:00:00;null;null
12-9-2021 07:20:13;21519665;null;12-9-2021 09:00:00;null;null
12-9-2021 09:05:16;21519483;21;12-9-2021 09:00:19;null;null
12-9-2021 09:20:11;21519513;18R;12-9-2021 09:00:34;B20;ARTIP
12-9-2021 09:20:12;21519528;18R;12-9-2021 09:05:13;E18;RIVER
12-9-2021 09:20:13;21519514;18R;12-9-2021 09:07:54;B24;ARTIP
12-9-2021 07:50:12;21519400;null;12-9-2021 09:09:00;null;null
12-9-2021 09:20:13;21519526;21;12-9-2021 09:09:47;LES;null
12-9-2021 09:20:14;21519515;18R;12-9-2021 09:10:00;A52;ARTIP
12-9-2021 09:20:14;21519537;18R;12-9-2021 09:11:50;E02;SUGOL
12-9-2021 09:35:10;21519516;18R;12-9-2021 09:13:37;S77;ARTIP
12-9-2021 08:50:13;21519831;null;12-9-2021 09:14:00;null;null
12-9-2021 09:35:11;21519518;18R;12-9-2021 09:15:49;R77;SUGOL
12-9-2021 09:35:12;21519534;18R;12-9-2021 09:18:18;B28;ARTIP
12-9-2021 09:35:12;21519527;24;12-9-2021 09:19:00;D2;null
12-9-2021 09:35:12;21519508;18R;12-9-2021 09:19:20;C07;RIVER
12-9-2021 09:35:13;21519492;18R;12-9-2021 09:21:25;G08;ARTIP
12-9-2021 09:35:14;21519407;23;12-9-2021 09:23:00;KLS;null
12-9-2021 09:35:14;21519474;18R;12-9-2021 09:23:08;D49;ARTIP
12-9-2021 09:35:14;21519520;21;12-9-2021 09:23:35;AZS;null
12-9-2021 09:35:15;21519839;null;12-9-2021 09:24:00;null;null
12-9-2021 09:35:15;21519517;18R;12-9-2021 09:25:17;G03;ARTIP
12-9-2021 09:35:15;21519536;18R;12-9-2021 09:27:35;G04;ARTIP
12-9-2021 09:35:15;21519556;21;12-9-2021 09:28:31;null;null
12-9-2021 09:50:11;21519525;18R;12-9-2021 09:29:53;B32;RIVER
12-9-2021 09:50:11;21519412;21;12-9-2021 09:31:03;AZS;null
12-9-2021 09:50:11;21519549;18R;12-9-2021 09:31:37;B17;ARTIP
12-9-2021 09:50:12;21519564;18R;12-9-2021 09:33:32;D05;RIVER
12-9-2021 09:50:12;21519899;24;12-9-2021 09:34:08;null;null
12-9-2021 09:50:13;21519507;18R;12-9-2021 09:35:28;C10;ARTIP
12-9-2021 09:50:13;21519554;18R;12-9-2021 09:37:24;A31;ARTIP
12-9-2021 08:50:15;21519826;null;12-9-2021 09:38:00;null;null
12-9-2021 09:50:13;21519559;21;12-9-2021 09:39:22;null;null
12-9-2021 09:50:14;21519553;18R;12-9-2021 09:39:24;H07;ARTIP
12-9-2021 09:50:15;21519562;18R;12-9-2021 09:41:16;B35;RIVER
12-9-2021 09:50:15;21519555;18R;12-9-2021 09:42:49;E04;ARTIP
12-9-2021 09:50:15;21519605;24;12-9-2021 09:43:57;D1;null
12-9-2021 10:05:12;21519567;18R;12-9-2021 09:45:23;D10;RIVER
12-9-2021 10:05:13;21519585;18R;12-9-2021 09:48:32;E22;SUGOL
12-9-2021 10:05:13;21519500;22;12-9-2021 09:50:00;GL;null
12-9-2021 09:05:15;21519684;null;12-9-2021 09:50:00;null;null
12-9-2021 07:35:12;21519685;null;12-9-2021 09:50:00;null;null
12-9-2021 10:05:13;21519563;21;12-9-2021 09:50:35;null;null
12-9-2021 10:05:14;21519578;18R;12-9-2021 09:50:50;E09;SUGOL
12-9-2021 10:05:15;21519577;18R;12-9-2021 09:53:21;F06;SUGOL
12-9-2021 10:05:15;21519569;22;12-9-2021 09:54:30;GL;ARTIP
12-9-2021 10:05:15;21519821;24;12-9-2021 09:55:25;null;null
12-9-2021 10:05:16;21519535;18R;12-9-2021 09:56:32;H02;RIVER
12-9-2021 10:20:11;21519590;18R;12-9-2021 09:58:37;E07;RIVER
12-9-2021 10:05:16;21520002;24;12-9-2021 09:59:34;null;null
12-9-2021 10:35:13;21519787;null;12-9-2021 10:00:00;null;null
12-9-2021 08:50:16;21519877;null;12-9-2021 10:00:00;null;null
12-9-2021 10:20:11;21519581;21;12-9-2021 10:00:42;null;null
12-9-2021 10:20:11;21519570;21;12-9-2021 10:00:46;null;null
12-9-2021 10:20:12;21519601;18R;12-9-2021 10:00:56;D55;RIVER
12-9-2021 10:20:12;21519625;18R;12-9-2021 10:02:56;D53;RIVER
12-9-2021 10:50:12;21519505;null;12-9-2021 10:03:00;null;null
12-9-2021 10:05:13;21519832;null;12-9-2021 10:04:00;null;null
12-9-2021 10:20:13;21519598;18R;12-9-2021 10:04:23;D51;RIVER
12-9-2021 10:35:15;21519566;null;12-9-2021 10:05:00;null;null
12-9-2021 10:20:13;21519597;21;12-9-2021 10:05:01;null;null
12-9-2021 10:20:14;21519576;18R;12-9-2021 10:05:46;G07;ARTIP
12-9-2021 10:20:11;21519639;null;12-9-2021 10:06:11;null;null
12-9-2021 10:20:14;21519615;18R;12-9-2021 10:07:17;A46;ARTIP
12-9-2021 09:35:15;21519968;null;12-9-2021 10:08:00;null;null
12-9-2021 10:20:14;21519609;18R;12-9-2021 10:08:28;H04;SUGOL
12-9-2021 06:20:10;21519541;null;12-9-2021 10:10:00;null;null
12-9-2021 06:35:12;21519573;null;12-9-2021 10:10:00;null;null
12-9-2021 09:50:14;21519748;null;12-9-2021 10:10:00;null;null
12-9-2021 10:20:15;21519572;18R;12-9-2021 10:10:01;G09;ARTIP
12-9-2021 10:20:16;21519664;18R;12-9-2021 10:11:38;F05;SUGOL
12-9-2021 10:20:15;21519731;24;12-9-2021 10:12:00;null;null
12-9-2021 09:20:12;21519672;null;12-9-2021 10:12:00;null;null
12-9-2021 10:20:16;21519626;22;12-9-2021 10:13:23;GL;ARTIP
12-9-2021 10:35:11;21519613;18R;12-9-2021 10:13:49;B16;ARTIP
12-9-2021 10:50:12;21519825;null;12-9-2021 10:15:00;null;null
12-9-2021 10:35:11;21519627;18R;12-9-2021 10:15:08;H01;RIVER
12-9-2021 10:35:11;21519540;null;12-9-2021 10:16:00;GL;null
12-9-2021 07:05:12;21519631;null;12-9-2021 10:16:00;null;null
12-9-2021 10:35:12;21519647;18R;12-9-2021 10:16:30;H03;ARTIP
12-9-2021 10:05:12;21519494;null;12-9-2021 10:17:31;null;null
12-9-2021 10:35:12;21519637;18R;12-9-2021 10:18:07;C05;ARTIP
12-9-2021 10:35:12;21519629;23;12-9-2021 10:19:49;J;null
12-9-2021 07:50:13;21519744;null;12-9-2021 10:20:00;null;null
12-9-2021 10:35:15;21519785;24;12-9-2021 10:22:00;null;null
12-9-2021 10:35:14;21519635;18R;12-9-2021 10:22:30;R80;SUGOL
12-9-2021 10:35:14;21519822;23;12-9-2021 10:23:00;null;null
12-9-2021 10:35:15;21519964;23;12-9-2021 10:24:00;null;null
12-9-2021 10:35:15;21519638;18R;12-9-2021 10:24:23;D04;SUGOL
12-9-2021 09:50:15;21519849;null;12-9-2021 10:24:32;null;null
12-9-2021 10:35:16;21519599;18R;12-9-2021 10:26:47;A42;SUGOL
12-9-2021 10:35:15;21519539;23;12-9-2021 10:27:00;null;null
12-9-2021 10:35:16;21519617;18R;12-9-2021 10:28:08;A32;ARTIP
12-9-2021 10:05:13;21519900;null;12-9-2021 10:28:51;null;null
12-9-2021 10:35:16;21519595;24;12-9-2021 10:29:00;null;null
12-9-2021 10:50:12;21519636;18R;12-9-2021 10:29:30;B36;RIVER
12-9-2021 06:50:11;21519592;null;12-9-2021 10:30:00;null;null
12-9-2021 08:35:12;21519827;null;12-9-2021 10:30:00;null;null
12-9-2021 10:50:12;21519648;18R;12-9-2021 10:31:10;C18;ARTIP
12-9-2021 10:05:14;21519677;null;12-9-2021 10:33:15;null;null
12-9-2021 10:50:13;21519687;18R;12-9-2021 10:33:25;H06;RIVER
12-9-2021 10:50:13;21519659;21;12-9-2021 10:34:56;S3;null
12-9-2021 09:35:15;21519840;null;12-9-2021 10:37:00;null;null
12-9-2021 10:50:15;21519604;22;12-9-2021 10:37:01;GL;ARTIP
12-9-2021 10:50:14;21519674;24;12-9-2021 10:37:20;C2;null
12-9-2021 10:50:15;21519634;18R;12-9-2021 10:37:49;A53;ARTIP
12-9-2021 10:20:12;21519624;null;12-9-2021 10:38:54;null;null
12-9-2021 10:50:15;21519695;24;12-9-2021 10:40:59;JA;null
12-9-2021 10:50:16;21519667;22;12-9-2021 10:42:05;D2;null
12-9-2021 10:50:16;21519642;21;12-9-2021 10:42:32;null;null
12-9-2021 10:05:14;21519623;null;12-9-2021 10:44:24;null;null
12-9-2021 06:50:11;21519589;null;12-9-2021 10:45:00;null;null
12-9-2021 11:05:12;21519697;36R;12-9-2021 10:46:15;D47;RIVER
12-9-2021 10:20:12;21519862;null;12-9-2021 10:48:00;null;null
12-9-2021 11:05:13;21519717;23;12-9-2021 10:48:08;A14;null
12-9-2021 11:05:13;21519658;36R;12-9-2021 10:48:29;D49;SUGOL
12-9-2021 10:05:13;21519920;null;12-9-2021 10:49:53;null;null
12-9-2021 11:05:14;21519729;36R;12-9-2021 10:50:05;GL;ARTIP
12-9-2021 10:05:14;21519733;null;12-9-2021 10:51:00;null;null
12-9-2021 11:05:15;21519675;36R;12-9-2021 10:52:12;F03;SUGOL
12-9-2021 11:05:16;21519875;24;12-9-2021 10:54:00;null;null
12-9-2021 10:50:12;21520056;null;12-9-2021 10:54:00;null;null
12-9-2021 11:05:16;21519668;36R;12-9-2021 10:54:33;C08;RIVER
12-9-2021 09:35:13;21519788;23;12-9-2021 10:55:00;null;null
12-9-2021 11:05:17;21519720;36R;12-9-2021 10:56:03;G03;SUGOL
12-9-2021 11:05:18;21519719;36R;12-9-2021 10:58:27;C10;RIVER
12-9-2021 07:20:12;21519657;null;12-9-2021 11:00:00;null;null
12-9-2021 08:20:10;21519799;null;12-9-2021 11:00:00;null;null
12-9-2021 11:20:11;21519681;36C;12-9-2021 11:00:18;H05;RIVER
12-9-2021 11:20:12;21519722;36R;12-9-2021 11:01:38;B32;ARTIP
12-9-2021 11:20:13;21519716;36C;12-9-2021 11:02:57;B23;RIVER
12-9-2021 11:20:13;21519692;36R;12-9-2021 11:04:03;G02;ARTIP
12-9-2021 11:20:13;21519737;24;12-9-2021 11:05:00;B1;null
